priority	accession	study_url	filename	bytes_expected	download_url	stage_prefix	note
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d32_MA_barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d32_MA_barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d32_MA.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	2020-06-05.d32_MA_orgs_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=2020-06-05.d32_MA_orgs_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d32_MA.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.d32_control_sub_organoids.mtx	1006368942	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.d32_control_sub_organoids.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d32_genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d32_genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d32_control_sub_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d32_barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d32_barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d32_control_sub_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	day32.integrated_organoids_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=day32.integrated_organoids_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d32_control_sub_organoids.mtx
HIGH	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.ma51_control_organoids.mtx	131448493	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.ma51_control_organoids.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix; stage smoke d51 first
HIGH	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d51_genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d51_genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.ma51_control_organoids.mtx
HIGH	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d51_barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d51_barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.ma51_control_organoids.mtx
HIGH	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d51_control_organoids_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d51_control_organoids_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.ma51_control_organoids.mtx
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_PGP1.3mon.txt.gz	329301790	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_PGP1.3mon.txt.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	3 months PGP1
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_HUES66.3mon.txt	504366669	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_HUES66.3mon.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	3 months HUES66
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_PGP1.6mon.txt.gz	338974602	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_PGP1.6mon.txt.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	6 months PGP1
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_PGP1.3mon.batch2.txt.gz	474361094	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_PGP1.3mon.batch2.txt.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	3 months PGP1 Batch 2
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_GM.6mon.txt.gz	276201426	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_GM.6mon.txt.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	6 months GM8330
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_11a.6mon.txt.gz	365276898	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_11a.6mon.txt.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	6 months 11a
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	expression_PGP1.6mon.Batch2.txt.gz	436326443	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=expression_PGP1.6mon.Batch2.txt.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	6 months PGP1 Batch 3
HIGH	SCP282	https://singlecell.broadinstitute.org/single_cell/study/SCP282	meta_combined.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP282/download?filename=meta_combined.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP282/	combined metadata; byte size unresolved in prior audit
MED	SCP1469	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	expression_matrix.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=expression_matrix.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1469/	Expression Matrix / This is the Expression Matrix
MED	SCP1469	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	hrt_singletgenelist.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=hrt_singletgenelist.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1469/	Gene List / This is the Gene List
MED	SCP1469	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	Hrt_singletmetadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=Hrt_singletmetadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1469/	Metadata / This is the Metadata Matrix
MED	SCP1469	https://singlecell.broadinstitute.org/single_cell/study/SCP1469	Hrt_singletCluster.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1469/download?filename=Hrt_singletCluster.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1469/	Cluster / Nine Hand-positive cell types and their transcriptomes.
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	PtenAll_count_mat.mtx		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=PtenAll_count_mat.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	MM Coordinate Matrix /
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	PtenAll_count_mat_gene_names.csv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=PtenAll_count_mat_gene_names.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	10X Genes File /
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	PtenAll_count_mat_cell_names.csv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=PtenAll_count_mat_cell_names.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	10X Barcodes File /
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	SCP_clusterfile.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=SCP_clusterfile.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	Cluster / RGC types
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	SCP_meta_202206.csv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=SCP_meta_202206.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	Metadata /
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	PtenAll_data.mtx		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=PtenAll_data.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	MM Coordinate Matrix / Expression data
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	PtenAll_data_gene_names.csv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=PtenAll_data_gene_names.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	10X Genes File /
MED	SCP1846	https://singlecell.broadinstitute.org/single_cell/study/SCP1846	PtenAll_data_cell_names.csv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1846/download?filename=PtenAll_data_cell_names.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1846/	10X Barcodes File /
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	expression_matrix.mtx.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=expression_matrix.mtx.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: MM Coordinate Matrix / HH7
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	genes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=genes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Genes File / HH7
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	barcodes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=barcodes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Barcodes File /
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH6_expression_matrix.mtx.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6_expression_matrix.mtx.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: MM Coordinate Matrix / HH6
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH6_genes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6_genes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Genes File / HH6
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH6_barcodes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6_barcodes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Barcodes File / HH6
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH5_expression_matrix.mtx.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH5_expression_matrix.mtx.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: MM Coordinate Matrix / HH4
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH5_genes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH5_genes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Genes File / HH5
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH5_barcodes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH5_barcodes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Barcodes File / HH5
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH4-cluster.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH4-cluster.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: Cluster / HH4
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH5-cluster_new.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH5-cluster_new.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: Cluster / HH5
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH6-cluster.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH6-cluster.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: Cluster / HH6
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH7-cluster.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH7-cluster.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: Cluster / HH7
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH4_expression_matrix.mtx.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH4_expression_matrix.mtx.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: MM Coordinate Matrix / HH4
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH4_genes.tsv.gz		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH4_genes.tsv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Genes File / HH4
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	HH4_barcodes_prefix.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=HH4_barcodes_prefix.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: 10X Barcodes File / HH4
MED	SCP1570	https://singlecell.broadinstitute.org/single_cell/study/SCP1570/single-cell-atlas-of-early-chick-development	Metadata_ALL_withSubClusters_plus_CombinedData_new39_modif_noRNA.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1570/download?filename=Metadata_ALL_withSubClusters_plus_CombinedData_new39_modif_noRNA.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1570/	preferred whole-stage file: Metadata /
MED	SCP1549	https://singlecell.broadinstitute.org/single_cell/study/SCP1549	220629_bfx1987_counts_1_.csv.gz	16706916	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1549/download?filename=220629_bfx1987_counts_1_.csv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1549/	T32 regeneration bounded payload
MED	SCP1549	https://singlecell.broadinstitute.org/single_cell/study/SCP1549	220629_bfx1987_log2cpm.csv.gz	80733371	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1549/download?filename=220629_bfx1987_log2cpm.csv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1549/	T32 regeneration bounded payload
MED	SCP1549	https://singlecell.broadinstitute.org/single_cell/study/SCP1549	bfx1537_meta_v2.csv	2655601	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1549/download?filename=bfx1537_meta_v2.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1549/	T32 regeneration bounded payload
MED	SCP1674	https://singlecell.broadinstitute.org/single_cell/study/SCP1674	bfx1543_counts.csv.gz	11856731	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1674/download?filename=bfx1543_counts.csv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1674/	T32 regeneration bounded payload
MED	SCP1674	https://singlecell.broadinstitute.org/single_cell/study/SCP1674	bfx1543_normalised.csv.gz	57894546	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1674/download?filename=bfx1543_normalised.csv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1674/	T32 regeneration bounded payload
MED	SCP1674	https://singlecell.broadinstitute.org/single_cell/study/SCP1674	211209_bfx1543_meta.csv	1177167	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1674/download?filename=211209_bfx1543_meta.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1674/	T32 regeneration bounded payload
MED	SCP1973	https://singlecell.broadinstitute.org/single_cell/study/SCP1973	220909_bfx1544_counts.csv.gz	20085253	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1973/download?filename=220909_bfx1544_counts.csv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1973/	T32 regeneration bounded payload
MED	SCP1973	https://singlecell.broadinstitute.org/single_cell/study/SCP1973	220909_bfx1544_lognorm.csv.gz	181731424	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1973/download?filename=220909_bfx1544_lognorm.csv.gz	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1973/	T32 regeneration bounded payload
MED	SCP1973	https://singlecell.broadinstitute.org/single_cell/study/SCP1973	220929_bfx1544_meta.csv	2052747	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1973/download?filename=220929_bfx1544_meta.csv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP1973/	T32 regeneration bounded payload
