dataset	source_accession	prior_p5d_decision	staged_h5ad_count	staged_bytes	staged_uris	duplicate_named_staged_object	existing_exact_or_chunk_prefixes	existing_same_accession_prefixes	existing_family_overlap	decision	rationale
GSE272457	GSE272457	blocked_source_or_metadata	0	0		false				still_missing_source	Historical Drive-blocked row still has no staged h5ad under the recovery prefix.
GSE273271	GSE273271	blocked_source_or_metadata	1	3033728368	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE273271.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE274751	GSE274751	blocked_source_or_metadata	1	531628032	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE274751.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE278572	GSE278572	blocked_source_or_metadata	1	4056291107	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE278572.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE280767	GSE280767	blocked_source_or_metadata	1	2010340238	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE280767.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE281048_IFNB_Perturb_seq	GSE281048	blocked_source_or_metadata	1	4465857408	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE281048_IFNB_Perturb_seq.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE281048_IFNG_Perturb_seq	GSE281048	blocked_source_or_metadata	1	3047289494	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE281048_IFNG_Perturb_seq.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE281048_INS_Perturb_seq	GSE281048	blocked_source_or_metadata	1	5810523276	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE281048_INS_Perturb_seq.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE281048_TGFB_Perturb_seq	GSE281048	blocked_source_or_metadata	1	2767634550	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE281048_TGFB_Perturb_seq.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE281048_TNFA_Perturb_seq	GSE281048	blocked_source_or_metadata	1	4867288765	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE281048_TNFA_Perturb_seq.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE282731	GSE282731	blocked_source_or_metadata	0	0		false				still_missing_source	Historical Drive-blocked row still has no staged h5ad under the recovery prefix.
GSE283614	GSE283614	blocked_source_or_metadata	1	1514297474	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE283614.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE90063_human-004	GSE90063	needs_human_decision	0	0		false		prism_collection/GSE90063_mouse;scperturb/dixit16_K562_TFs_13_days;scperturb/dixit16_K562_TFs_7_days	prism_collection;scperturb	skip_user_excluded	Preserve explicit user exclusion due duplicate/subset ambiguity.
