dataset_id,review_scope,logical_families,physical_member_count,observations,main_baseline_crosswalk,main_dataset_or_similar_visible,jkobject_dataset_visible,branch_disposition,duplicate_newness_status,strict_obs_validated,strict_var_validated,chunks_or_structure_validated,cleaning_validated,lamin_registered,in_versioned_collection,entirely_validated,entirely_validated_main_existing_dataset,entirely_validated_jkobject_addition,missing_requirements,next_review_focus,source_completion_state,evidence,aliases,scoped_scientific_validation_accepted,accepted_wave,accepted_wave_scoped_validation,accepted_wave_head,producer_task_id,reviewer_task_id,scientific_modality,experimental_axes,outcomes_endpoints,annotation_level,source_evidence,scientific_contract_documented,scientific_contract_bound,payload_prefixes,structured_payload_evidence,processing_decision_notebook_present,processing_decision_notebook,processing_decision_notebook_path,canonical_data_cleaned_payload,accepted_head_integrated,staging_decommissioned_with_receipt,inventory_docs_same_snapshot_accepted,exact_head_inventory_pr_merged
geo/GSE165291,strict_real_dataset_curation_70,"[""prism_collection/GSE165291""]",1,101670,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE182308,strict_real_dataset_curation_70,"[""prism_collection/GSE182308""]",19,94962,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE190604,strict_real_dataset_curation_70,"[""prism_collection/GSE190604""]",1,103805,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE195510,strict_real_dataset_curation_70,"[""prism_collection/GSE195510""]",1,140709,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE196142,strict_real_dataset_curation_70,"[""prism_collection/GSE196142""]",1,13220,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE197452,strict_real_dataset_curation_70,"[""prism_collection/GSE197452_Perturb-seq""]",1,20811,False,False,True,jkobject_addition_no_main_match_in_available_evidence,no_main_match_in_available_evidence,True,True,True,True,True,True,False,False,False,scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,scientific_contract_evidence,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],True,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE203592,strict_real_dataset_curation_70,"[""prism_collection/GSE203592""]",1,70646,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE205310,strict_real_dataset_curation_70,"[""prism_collection/GSE205310""]",1,124963,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE206107,strict_real_dataset_curation_70,"[""prism_collection/GSE206107""]",1,51055,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE207360,strict_real_dataset_curation_70,"[""prism_collection/GSE207360""]",1,12487,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE212396,strict_real_dataset_curation_70,"[""prism_collection/GSE212396""]",21,103155,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE213511,strict_real_dataset_curation_70,"[""prism_collection/GSE213511""]",37,181177,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE213921,strict_real_dataset_curation_70,"[""prism_collection/GSE213921""]",1,9797,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE214844,strict_real_dataset_curation_70,"[""prism_collection/GSE214844""]",13,12487,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE215253,strict_real_dataset_curation_70,"[""prism_collection/GSE215253""]",75,370636,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE216673,strict_real_dataset_curation_70,"[""prism_collection/GSE216673""]",12,55156,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE217812,strict_real_dataset_curation_70,"[""prism_collection/GSE217812""]",1,29889,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE219317,strict_real_dataset_curation_70,"[""prism_collection/GSE219317""]",96,95279,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE220974,strict_real_dataset_curation_70,"[""prism_collection/GSE220974""]",5,24661,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE221321,strict_real_dataset_curation_70,"[""prism_collection/GSE221321""]",43,210131,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE221882,strict_real_dataset_curation_70,"[""prism_collection/GSE221882""]",1,25241,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE225775,strict_real_dataset_curation_70,"[""prism_collection/GSE225775""]",272,1356998,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE225807,strict_real_dataset_curation_70,"[""prism_collection/GSE225807""]",4,17424,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
